province_name,maternal_age_risk_z,low_knowledge_z,water_no_or_unimproved_z,water_limited_z,sanitation_babs_z,sanitation_unimproved_z
ACEH,-1.4984,0.4303,-0.1923,-0.7217,0.0155,-0.1957
BALI,-0.5673,0.4303,-1.2297,-0.4507,-1.3464,-0.7177
BANGKA BELITUNG,-0.4171,0.3602,1.3477,-0.8910,-1.2005,-0.8582
BANTEN,-1.0779,0.3602,-1.0028,-0.8910,0.0642,-0.4567
BENGKULU,-0.3270,0.2901,0.0995,-0.9926,-0.6898,-0.6374
DI YOGYAKARTA,-1.4383,-0.9015,-0.7758,-1.0265,-0.9573,-0.9184
DKI JAKARTA,-1.4984,0.1499,-1.4080,-1.0943,0.7451,-0.6173
GORONTALO,0.9044,0.6406,0.2778,0.0574,-0.3736,0.8482
JAMBI,-0.8977,-0.3408,-0.3057,-0.6878,-0.3006,-0.3764
JAWA BARAT,-0.5973,-0.1305,-0.8245,-0.1797,2.1557,-0.2359
JAWA TENGAH,-1.0178,-5.1075,-0.6624,-0.7894,-0.0331,-0.3764
JAWA TIMUR,-0.3871,-0.1305,-1.1649,-0.3829,-0.3249,-0.3965
KALIMANTAN BARAT,0.6941,-0.2707,0.7317,-0.1458,-0.3736,0.3864
KALIMANTAN SELATAN,-0.0868,0.0798,1.0235,-0.9588,0.4533,0.0652
KALIMANTAN TENGAH,0.7542,-0.0604,1.1207,0.0235,1.0856,-0.2560
KALIMANTAN TIMUR,-0.5673,0.2901,0.0509,-0.6200,-0.2277,-1.0389
KALIMANTAN UTARA,0.4839,0.4303,0.3589,-0.1797,0.7695,-0.7980
KEPULAUAN RIAU,-1.2281,0.5004,-1.0190,0.2268,-0.1547,-1.1392
LAMPUNG,-0.7175,0.3602,-0.5165,-0.1120,-0.8600,-0.9586
MALUKU,1.0545,0.5705,-0.8893,1.2768,-0.4709,0.0853
MALUKU UTARA,1.6852,0.5705,1.5584,0.4639,-0.9816,1.2497
NUSA TENGGARA BARAT,0.4839,0.4303,-0.8407,-0.5862,-0.2277,0.3463
NUSA TENGGARA TIMUR,0.2436,0.0097,0.9262,3.1059,-0.5682,4.3612
PAPUA,1.1146,-2.0932,-0.1112,-0.0781,0.5506,-0.4768
PAPUA BARAT,1.2648,0.2901,0.4399,0.0574,-0.0574,-0.1757
PAPUA BARAT DAYA,1.4750,0.4303,2.6445,1.3107,0.2344,0.8080
PAPUA SELATAN,1.5651,0.2901,2.8552,0.8703,2.3503,1.8117
RIAU,-0.9277,-0.4810,-0.5327,-0.5184,0.0642,0.0452
SULAWESI BARAT,1.2948,0.4303,0.5858,1.5139,-0.4222,0.8080
SULAWESI SELATAN,0.4238,0.4303,-0.5651,0.3284,-1.1762,0.0251
SULAWESI TENGAH,0.6941,0.4303,-0.6786,1.1752,0.0642,0.4266
SULAWESI TENGGARA,0.5139,0.4303,-0.3868,2.8349,-0.5438,0.9485
SULAWESI UTARA,1.5050,-0.2707,-0.5489,-0.2136,-1.0302,-0.4166
SUMATERA BARAT,-1.3482,0.4303,0.0671,-0.3152,3.4933,-0.0351
SUMATERA SELATAN,-0.3270,0.4303,-0.1112,-1.0265,-0.2277,-0.7177
SUMATERA UTARA,-1.2281,0.2901,-0.3219,-0.3829,0.5019,-0.4166
